Gene_symbol	Gene_Name	Synonyms	Human_entrez	Mouse_entrez	Rat_entrez
CD3D	"T-cell surface glycoprotein CD3 delta chain "	"CD3DELTA CD3-DELTA"	915	12500	25710
Cdc42bpg	"Serine/threonine-protein kinase MRCK gamma "	-		240505	
CDC45	"Cell division control protein 45 homolog "	-	8318	12544	287961
CDC5L	"Cell division cycle 5-like protein "	"PCDC5RP hCDC5 CEF1 CDC5"	988	71702	85434
CDC6	"Cell division control protein 6 homolog "	-	990	23834	360621
CDC73	"Parafibromin "	"parafibromin FIHP"	79577	214498	304832
CDCA7L	"Cell division cycle-associated 7-like protein "	"RAM2 R1 JPO2"	55536	217946	619566
CDIP1	"Cell death-inducing p53-target protein 1 "	"CDIP LITAFL"	29965	66626	360480
CDK1	"Cyclin-dependent kinase 1 "	CDC28A	983	12534	54237
CDK11A	"Cyclin-dependent kinase 11A "	"PITSLRE CDK11-p110 CDK11-p58 CDK11-p46 p58GTA"	728642		
CDK11B	"Cyclin-dependent kinase 11B "	"CDK11-p110 CDK11-p58 CDK11-p46"	984		
CDK12	"Cyclin-dependent kinase 12 "	"CRK7 CRKR KIAA0904"	51755	69131	192350
CDK13	"Cyclin-dependent kinase 13 "	"CHED CDC2L KIAA1791"	8621	69562	306998
CDK2	"Cyclin-dependent kinase 2 "	-	1017	12566	362817
CDK5	"Cyclin-dependent kinase 5 "	PSSALRE	1020	12568	140908
CDK5R1	"Cyclin-dependent kinase 5 activator 1 "	"p35nck5a Nck5a p35"	8851	12569	116671
CDK5RAP3	"CDK5 regulatory subunit-associated protein 3 "	"MST016 FLJ13660 C53 IC53 HSF-27 OK/SW-cl.114 LZAP"	80279	80280	80278
CDK7	"Cyclin-dependent kinase 7 "	"CAK1 CDKN7 MO15 STK1 CAK"	1022	12572	171150
CDK8	"Cyclin-dependent kinase 8 "	K35	1024	264064	309804
CDK9	"Cyclin-dependent kinase 9 "	"PITALRE C-2k TAK"	1025	107951	362110
CDKN1B	"Cyclin-dependent kinase inhibitor 1B "	"KIP1 P27KIP1"	1027	12576	83571
CDKN1C	"Cyclin-dependent kinase inhibitor 1C "	"P57 KIP2"	1028	12577	246060
CDKN2B	"Cyclin-dependent kinase 4 inhibitor B "	"P15 MTS2 INK4B TP15 CDK4I p15INK4b"	1030	12578	25163
CDR2	"Cerebellar degeneration-related protein 2 "	"CDR62 Yo"	1039		
CDR2L	"Cerebellar degeneration-related protein 2-like "	HUMPPA	30850		
CDX1	"Homeobox protein CDX-1 "	-	1044	12590	364883
CDX2	"Homeobox protein CDX-2 "	-	1045	12591	66019
CDX4	"Homeobox protein CDX-4 "	-	1046	12592	302400
CDY1	"Testis-specific chromodomain protein Y 1 "	CDY1A	9085		
CDY2A	"Testis-specific chromodomain protein Y 2 "	CDY	203611		
CDYL	"Chromodomain Y-like protein "	"DKFZP586C1622 CDYL1"	9425	12593	361237
CDYL2	"Chromodomain Y-like protein 2 "	FLJ38866	124359	75796	292044
CEBPA	"CCAAT/enhancer-binding protein alpha "	C/EBP-alpha	1050	12606	24252
CEBPB	"CCAAT/enhancer-binding protein beta "	"LAP CRP2 NFIL6 IL6DBP C/EBP-beta"	1051	12608	24253
CEBPD	"CCAAT/enhancer-binding protein delta "	"CRP3 CELF C/EBP-delta NF-IL6-beta"	1052	12609	25695
CEBPE	"CCAAT/enhancer-binding protein epsilon "	CRP1	1053	110794	25410
CEBPG	"CCAAT/enhancer-binding protein gamma "	"GPE1BP IG/EBP-1"	1054	12611	25301
CEBPZ	"CCAAT/enhancer-binding protein zeta "	"CBF2 CTF2"	10153	12607	362686
CECR2	"Chromatin remodeling regulator CECR2 "	KIAA1740	27443	330409	500308
CELF3	"CUGBP Elav-like family member 3 "	"CAGH4 BRUNOL1 ERDA4 MGC57297"	11189		
CENPA	"Histone H3-like centromeric protein A "	"CENP-A CenH3"	1058	12615	298850
CENPB	"Major centromere autoantigen B "	-	1059	12616	362217
CENPBD1	"Putative CENPB DNA-binding domain-containing protein 1"	MGC16385	92806		
CENPF	"Centromere protein F "	hcp-1	1063	108000	257649
CENPJ	"Centromere protein J "	"CPAP BM032 LAP LIP1 Sas-4 SASS4 SCKL4"	55835	219103	305909
CENPS	"Centromere protein S "	"CENP-S FAAP16"	378708	69928	
CENPT	"Centromere protein T "	"FLJ13111 CENP-T"	80152	320394	307805
CENPU	"Centromere protein U "	"CENP-U KLIP1 CENP-50 PBIP1"	79682	71876	306464
CENPX	"Centromere protein X "	"MGC14480 FAAP10 CENP-X"	201254		
CEP290	"Centrosomal protein of 290 kDa "	"KIAA0373 FLJ13615 3H11Ag rd16 NPHP6 JBTS5 SLSN6 LCA10 MKS4 BBS14 CT87 POC3"	80184	216274	314787
CERS2	"Ceramide synthase 2 "	"SP260 FLJ10243"	29956		
CERS3	"Ceramide synthase 3 "	MGC27091	204219		
CERS4	"Ceramide synthase 4 "	"FLJ12089 Trh1"	79603		
CERS5	"Ceramide synthase 5 "	"Trh4 MGC45411 FLJ25304"	91012		
CERS6	"Ceramide synthase 6 "	-	253782		
CFAP20	"Cilia- and flagella-associated protein 20 "	"GTL3 fSAP23"	29105		
CGGBP1	"CGG triplet repeat-binding protein 1 "	"p20-CGGBP CGGBP"	8545	106143	288353
CHAF1B	"Chromatin assembly factor 1 subunit B "	"CAF1P60 CAF-1 CAF1 CAF1A MPP7 MPHOSPH7"	8208	110749	288242
CHAMP1	"Chromosome alignment-maintaining phosphoprotein 1 "	"CAMP CHAMP"	283489	101994	
CHCHD2	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 "	"MIX17B MNRR1"	51142	14004	316643
CHCHD3	"MICOS complex subunit MIC19 "	"FLJ20420 MINOS3 PPP1R22 Mic19 MICOS19"	54927	66075	296966
CHD1	"Chromodomain-helicase-DNA-binding protein 1 "	-	1105	12648	308215
CHD1L	"Chromodomain-helicase-DNA-binding protein 1-like "	ALC1	9557	68058	310707
CHD2	"Chromodomain-helicase-DNA-binding protein 2 "	"FLJ38614 DKFZp547I1315 DKFZp781D1727 DKFZp686E01200"	1106	244059	308738
CHD3	"Chromodomain-helicase-DNA-binding protein 3 "	"Mi-2a ZFH Mi2-ALPHA"	1107	216848	303241
CHD4	"Chromodomain-helicase-DNA-binding protein 4 "	"Mi-2b Mi2-BETA"	1108	107932	117535
CHD5	"Chromodomain-helicase-DNA-binding protein 5 "	-	26038	269610	691589
CHD6	"Chromodomain-helicase-DNA-binding protein 6 "	"KIAA1335 FLJ22369 dJ620E11.1 CHD5 RIGB"	84181	71389	311607
CHD7	"Chromodomain-helicase-DNA-binding protein 7 "	"KIAA1416 FLJ20357 FLJ20361"	55636	320790	312974
CHD8	"Chromodomain-helicase-DNA-binding protein 8 "	"KIAA1564 DUPLIN"	57680	67772	65027
CHD9	"Chromodomain-helicase-DNA-binding protein 9 "	"FLJ12178 KIAA0308 BC022889"	80205	109151	307726
CHEK1	"Serine/threonine-protein kinase Chk1 "	CHK1	1111	12649	500972
CHEK2	"Serine/threonine-protein kinase Chk2 "	"CDS1 CHK2 HuCds1 PP1425 bA444G7"	11200	50883	114212
Chmp1a	"Charged multivesicular body protein 1a "	-		234852	365024
CHMP1A	"Charged multivesicular body protein 1a "	"KIAA0047 CHMP1 Vps46A"	5119		
CHMP3	"Charged multivesicular body protein 3 "	"NEDF CGI-149"	100526767		
CHRAC1	"Chromatin accessibility complex protein 1 "	"CHRAC15 YCL1"	54108	93696	315058
CHTOP	"Chromatin target of PRMT1 protein "	"DKFZP547E1010 SRAG FOP"	26097	66511	361990
CHUK	"Inhibitor of nuclear factor kappa-B kinase subunit alpha "	"IKK1 IKK-alpha IkBKA NFKBIKA IKKA"	1147	12675	309361
CIAO1	"Probable cytosolic iron-sulfur protein assembly protein CIAO1 "	CIA1	9391	26371	
CIC	"Protein capicua homolog"	KIAA0306	23152	71722	308435
CIDEA	"Cell death activator CIDE-A "	CIDE-A	1149	12683	291541
CIITA	"MHC class II transactivator "	"C2TA NLRA"	4261	85483	12265
CIPC	"CLOCK-interacting pacemaker "	-	85457	217732	314330
CIR1	"Corepressor interacting with RBPJ 1 "	CIR	9541	66935	362149
CITED1	"Cbp/p300-interacting transactivator 1 "	-	4435	12705	64466
CITED2	"Cbp/p300-interacting transactivator 2 "	MRG1	10370	17684	114490
CITED4	"Cbp/p300-interacting transactivator 4 "	-	163732	56222	114491
CIZ1	"Cip1-interacting zinc finger protein "	"LSFR1 ZNF356"	25792	68379	296639
CLOCK	"Circadian locomoter output cycles protein kaput "	"KIAA0334 KAT13D bHLHe8"	9575	12753	60447
CLU	"Clusterin "	"SGP-2 SP-40 TRPM-2 KUB1 CLU1 CLU2"	1191	12759	24854
Cmtm2a	"CKLF-like MARVEL transmembrane domain-containing protein 2A "	-		73381	307616
CNBP	"CCHC-type zinc finger nucleic acid binding protein "	"RNF163 ZCCHC22 CNBP1"	7555	12785	64530
CNOT1	"CCR4-NOT transcription complex subunit 1 "	"CDC39 NOT1H KIAA1007 AD-005"	23019	234594	291841
CNOT10	"CCR4-NOT transcription complex subunit 10"	"FLJ12890 FLJ13165"	25904	78893	
CNOT11	"CCR4-NOT transcription complex subunit 11"	C40	55571	52846	363221
CNOT2	"CCR4-NOT transcription complex subunit 2 "	"CDC36 NOT2H"	4848	72068	299805
CNOT3	"CCR4-NOT transcription complex subunit 3 "	"NOT3H KIAA0691 LENG2"	4849	232791	308311
CNOT4	"CCR4-NOT transcription complex subunit 4 "	"CLONE243 NOT4H"	4850	53621	
CNOT6	"CCR4-NOT transcription complex subunit 6 "	"CCR4 KIAA1194 Ccr4a"	57472	104625	287249
CNOT6L	"CCR4-NOT transcription complex subunit 6-like "	"DKFZp434K098 Ccr4b"	246175	104625	287249
CNOT7	"CCR4-NOT transcription complex subunit 7 "	-	29883	18983	306492
CNOT8	"CCR4-NOT transcription complex subunit 8 "	"CAF1 hCAF1 CALIF"	9337	69125	363603
CNOT9	"CCR4-NOT transcription complex subunit 9 "	"RCD1 RCD1+ CT129 CAF40"	9125	58184	301513
CNPY3	"Protein canopy homolog 3 "	CAG4A	10695		
COMMD1	"COMM domain-containing protein 1 "	"MURR1 MGC27155"	150684	17846	289831
COMMD10	"COMM domain-containing protein 10"	PTD002	51397		
COMMD3	"COMM domain-containing protein 3 "	BUP	23412		
COMMD4	"COMM domain-containing protein 4"	FLJ20452	54939		
COMMD5	"COMM domain-containing protein 5 "	"HT002 FLJ13008 HCaRG"	28991		
COMMD6	"COMM domain-containing protein 6"	Acrg	170622	66200	498559
COMMD8	"COMM domain-containing protein 8"	FLJ20502	54951		
COMMD9	"COMM domain-containing protein 9"	"HSPC166 FLJ31106"	29099		
COPRS	"Coordinator of PRMT5 and differentiation stimulator "	"TTP1 HSA272196 COPR5"	55352	66423	290925
COPS2	"COP9 signalosome complex subunit 2 "	"TRIP15 ALIEN CSN2"	9318	12848	261736
COPS3	"COP9 signalosome complex subunit 3 "	"SGN3 CSN3"	8533		
COPS4	"COP9 signalosome complex subunit 4 "	"CSN4 SGN4"	51138		
COPS5	"COP9 signalosome complex subunit 5 "	"JAB1 SGN5 MOV-34 CSN5"	10987	26754	312916
CORO1A	"Coronin-1A "	"HCORO1 p57 coronin-1"	11151		
CPEB1	"Cytoplasmic polyadenylation element-binding protein 1 "	"FLJ13203 CPEB"	64506	12877	293056
Cphx3	-	-		105594	502042
CPHXL	"Cytoplasmic polyadenylated homeobox-like protein "	-	105371346		
CPSF4	"Cleavage and polyadenylation specificity factor subunit 4 "	"NAR CPSF30"	10898		
CPSF4L	"Putative cleavage and polyadenylation specificity factor subunit 4-like protein"	-	642843		
CPXCR1	"CPX chromosomal region candidate gene 1 protein "	CT77	53336	382239	
CRABP2	"Cellular retinoic acid-binding protein 2 "	CRABP-II	1382		
CRAMP1	"Protein cramped-like "	KIAA1426	57585	57354	
CREB1	"Cyclic AMP-responsive element-binding protein 1 "	-	1385	12912	81646
CREB3	"Cyclic AMP-responsive element-binding protein 3 "	"LZIP Luman sLZIP"	10488	12913	298400
CREB3L1	"Cyclic AMP-responsive element-binding protein 3-like protein 1 "	OASIS	90993	26427	362165
CREB3L2	"Cyclic AMP-responsive element-binding protein 3-like protein 2 "	"BBF2H7 TCAG_1951439"	64764	208647	362339
CREB3L3	"Cyclic AMP-responsive element-binding protein 3-like protein 3 "	"CREB-H CREBH"	84699	208677	314638
CREB3L4	"Cyclic AMP-responsive element-binding protein 3-like protein 4 "	"AIbZIP CREB4 CREB3 hJAL ATCE1"	148327	78284	310616
CREB5	"Cyclic AMP-responsive element-binding protein 5 "	"H_GS165L15.1 CRE-BPA"	9586	231991	500131
CREBBP	"CREB-binding protein "	"RTS CBP KAT3A"	1387	12914	54244
CREBL2	"cAMP-responsive element-binding protein-like 2"	-	1389	232430	362453
CREBRF	"CREB3 regulatory factor "	LRF	153222	77128	303016
CREBZF	"CREB/ATF bZIP transcription factor "	ZF	58487	233490	293112
CREG1	"Protein CREG1 "	-	8804	433375	289185
CREM	"cAMP-responsive element modulator "	hCREM-2	1390	25620	12916
CRIP1	"Cysteine-rich protein 1 "	CRIP	1396	12925	691657
CRIP2	"Cysteine-rich protein 2 "	"CRP2 ESP1"	1397		
CRK	"Adapter molecule crk "	-	1398	12928	54245
CROCC	"Rootletin "	"rootletin ROLT CROCC1"	9696		
CRTC1	"CREB-regulated transcription coactivator 1 "	"KIAA0616 FLJ14027 TORC1"	23373	382056	684527
CRTC2	"CREB-regulated transcription coactivator 2 "	TORC2	200186	74343	310615
CRX	"Cone-rod homeobox protein"	"CRD LCA7 OTX3"	1406	12951	60446
CRY1	Cryptochrome-1	-	1407	12952	299691
CRY2	Cryptochrome-2	-	1408	12952	299691
CRYM	"Ketimine reductase mu-crystallin "	DFNA40	1428	12971	117024
CSDC2	"Cold shock domain-containing protein C2 "	PIPPin	27254	105859	266600
CSDE1	"Cold shock domain-containing protein E1 "	"D1S155E UNR"	7812	229663	100364335
CSNK2A1	"Casein kinase II subunit alpha "	"Cka1 Cka2"	1457		116549
CSNK2A2	"Casein kinase II subunit alpha "	"CSNK2A1 CK2alpha'"	1459	13000	307641
Csprs	"Component of Sp100-rs"	-		114564	
CSRNP1	"Cysteine/serine-rich nuclear protein 1 "	"URAX1 DKFZp566F164 FAM130B TAIP-3"	64651	215418	363165
CSRNP2	"Cysteine/serine-rich nuclear protein 2 "	"C12ORF2 TAIP-12 PPP1R72"	81566	207785	315308
CSRNP3	"Cysteine/serine-rich nuclear protein 3 "	"FLJ32093 TAIP-2 PPP1R73"	80034	77771	311093
CSRP1	"Cysteine and glycine-rich protein 1 "	"CSRP D1S181E"	1465		
CSRP2	"Cysteine and glycine-rich protein 2 "	"SmLIM CRP2 LMO5"	1466		
CSRP3	"Cysteine and glycine-rich protein 3 "	"CLP MLP CMD1M"	8048	13009	117505
CTBP1	"C-terminal-binding protein 1 "	BARS	1487	13016	29382
CTBP2	"C-terminal-binding protein 2 "	ribeye	1488	13017	81717
CTCF	"Transcriptional repressor CTCF "	"FAP108 CFAP108"	10664	13018	83726
CTCFL	"Transcriptional repressor CTCFL "	"dJ579F20.2 BORIS CT27"	140690	664799	100360757
CTDP1	"RNA polymerase II subunit A C-terminal domain phosphatase "	FCP1	9150	67655	291414
CTDSP1	"Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 "	"NLIIF SCP1"	58190	227292	363249
CTDSPL2	"CTD small phosphatase-like protein 2 "	"HSPC129 FLJ10523"	51496		
CTH	"Cystathionine gamma-lyase "	CSE	1491	107869	24962
CTNNB1	"Catenin beta-1 "	"beta-catenin armadillo"	1499	12387	84353
CTNNBIP1	"Beta-catenin-interacting protein 1 "	"ICAT MGC15093"	56998	67087	503000
CTNND1	"Catenin delta-1 "	"KIAA0384 p120 p120cas p120ctn"	1500	12388	311163
CTNND2	"Catenin delta-2 "	"NPRAP GT24"	1501	18163	114028
CTR9	"RNA polymerase-associated protein CTR9 homolog "	"KIAA0155 TSBP p150TSP"	9646	22083	293184
CUL1	"Cullin-1 "	-	8454		
CUL2	"Cullin-2 "	-	8453		
CUL3	"Cullin-3 "	-	8452	26554	301555
CUL4A	"Cullin-4A "	-	8451		
CUL4B	"Cullin-4B "	-	8450		
CUL5	"Cullin-5 "	VACM-1	8065		
CUX1	"Homeobox protein cut-like 1 "	"CDP CDP1 CUX CUT Clox CDP/Cut CDP/Cux Cux/CDP CASP GOLIM6"	1523	13047	116639
CUX2	"Homeobox protein cut-like 2 "	"KIAA0293 CDP2"	23316	13048	288665
CXXC1	"CXXC-type zinc finger protein 1 "	"HsT2645 PCCX1 hCGBP PHF18 CGBP SPP1 CFP1 ZCGPC1"	30827	74322	291440
CXXC4	"CXXC-type zinc finger protein 4 "	IDAX	80319	319478	83824
CXXC5	"CXXC-type zinc finger protein 5 "	"HSPC195 RINF WID"	51523	67393	291670
Cys1	"Cystin-1 "	-		12879	690489
DAB2	"Disabled homolog 2 "	DOC-2	1601	13132	79128
DACH1	"Dachshund homolog 1 "	-	1602	13134	306096
DACH2	"Dachshund homolog 2 "	-	117154	13134	306096
DACT1	"Dapper homolog 1 "	"DAPPER1 THYEX3 HDPR1 DAPPER FRODO"	51339	59036	500666
DAPK3	"Death-associated protein kinase 3 "	"ZIP ZIPK"	1613	13144	64391
DAXX	"Death domain-associated protein 6 "	DAP6	1616	13163	140926
DBP	"D site-binding protein "	DABP	1628	13170	24309
DBX1	"Homeobox protein DBX1 "	-	120237	13172	292934
DBX2	"Homeobox protein DBX2 "	FLJ16139	440097	223843	541457
DCAF1	"DDB1- and CUL4-associated factor 1 "	"KIAA0800 MGC102804"	9730	321006	315987
DCAF6	"DDB1- and CUL4-associated factor 6 "	PC326	55827	74106	289181
DCC	"Netrin receptor DCC "	"IGDCC1 NTN1R1"	1630	13176	25311
DDB2	"DNA damage-binding protein 2 "	"DDBB UV-DDB2 FLJ34321 XPE"	1643	107986	
DDIT3	"DNA damage-inducible transcript 3 protein "	"CHOP10 GADD153 CHOP"	1649	13198	29467
DDN	Dendrin	KIAA0749	23109	13199	25113
DDX1	"ATP-dependent RNA helicase DDX1 "	DBP-RB	1653	104721	84474
DDX17	"Probable ATP-dependent RNA helicase DDX17 "	P72	10521	67040	315133
DDX20	"Probable ATP-dependent RNA helicase DDX20 "	"DP103 GEMIN3"	11218	53975	84473
DDX39B	"Spliceosome RNA helicase DDX39B "	"D6S81E UAP56"	7919	53817	114612
DDX5	"Probable ATP-dependent RNA helicase DDX5 "	p68	1655	13207	287765
DDX54	"ATP-dependent RNA helicase DDX54 "	"MGC2835 APR-5 DP97"	79039	71990	360815
DEAF1	"Deformed epidermal autoregulatory factor 1 homolog "	"NUDR SPN ZMYND5"	10522	54006	83632
DEK	"Protein DEK"	D6S231E	7913	110052	306817
DENND4A	"C-myc promoter-binding protein "	IRLB	10260		
DEPDC1	"DEP domain-containing protein 1A"	"DEP.8 FLJ20354 SDP35 DEPDC1A"	55635	76131	295538
DEPDC1B	"DEP domain-containing protein 1B "	"XTP1 BRCC3"	55789		
DEPDC4	"DEP domain-containing protein 4"	"DEP.4 FLJ33505"	120863		
DEPDC5	"GATOR complex protein DEPDC5 "	"KIAA0645 DEP.5"	9681		
DEPDC7	"DEP domain-containing protein 7 "	-	91614		
DEPTOR	"DEP domain-containing mTOR-interacting protein "	"DEP.6 FLJ12428"	64798		
DGKQ	"Diacylglycerol kinase theta "	"DAGK DAGK7"	1609	110524	100361138
DHFR	"Dihydrofolate reductase "	DHFR1	1719		
DHRS7B	"Dehydrogenase/reductase SDR family member 7B "	"DKFZp566O084 MGC8916 CGI-93 SDR32C1"	25979	216820	287380
DHX33	"ATP-dependent RNA helicase DHX33 "	"FLJ21972 DKFZp762F2011"	56919	216877	287464
DHX34	"Probable ATP-dependent RNA helicase DHX34 "	KIAA0134	9704		
DHX36	"ATP-dependent DNA/RNA helicase DHX36 "	"MLEL1 KIAA1488 RHAU"	170506	72162	310461
DHX57	"Putative ATP-dependent RNA helicase DHX57 "	DDX57	90957		
DHX9	"ATP-dependent RNA helicase A "	RHA	1660	13211	304859
DIDO1	"Death-inducer obliterator 1 "	"DIO1 dJ885L7.8 FLJ11265 KIAA0333 DIO-1 BYE1"	11083		
DISP3	"Protein dispatched homolog 3 "	KIAA1337	57540		
DLX1	"Homeobox protein DLX-1"	-	1745	13390	296500
DLX2	"Homeobox protein DLX-2"	TES-1	1746	13392	296499
DLX3	"Homeobox protein DLX-3"	-	1747	13393	287638
DLX4	"Homeobox protein DLX-4 "	"DLX8 BP1"	1748	13394	303469
DLX5	"Homeobox protein DLX-5"	-	1749	13395	25431
DLX6	"Homeobox protein DLX-6"	-	1750	13396	500023
DMAP1	"DNA methyltransferase 1-associated protein 1 "	"DNMAP1 FLJ11543 KIAA1425 DNMTAP1 EAF2 MEAF2 SWC4"	55929	66233	298447
DMBX1	"Diencephalon/mesencephalon homeobox protein 1 "	"PAXB MBX Atx"	127343	140477	313512
DMC1	"Meiotic recombination protein DMC1/LIM15 homolog"	LIM15	11144		
DMRT1	"Doublesex- and mab-3-related transcription factor 1 "	"DMT1 CT154"	1761	50796	114498
DMRT2	"Doublesex- and mab-3-related transcription factor 2 "	-	10655	226049	309430
DMRT3	"Doublesex- and mab-3-related transcription factor 3"	-	58524	240590	293976
DMRTA1	"Doublesex- and mab-3-related transcription factor A1"	-	63951	242523	313352
DMRTA2	"Doublesex- and mab-3-related transcription factor A2 "	-	63950	242620	313471
DMRTB1	"Doublesex- and mab-3-related transcription factor B1"	-	63948	56296	313484
DMRTC1B	"Doublesex- and mab-3-related transcription factor C1"	-	63947	70887	108348153
DMRTC2	"Doublesex- and mab-3-related transcription factor C2"	-	63946	71241	499100
DMTF1	"Cyclin-D-binding Myb-like transcription factor 1 "	"DMP1 DMTF hDMP1 MRUL"	9988	23857	114485
DNAJA3	"DnaJ homolog subfamily A member 3, mitochondrial "	hTid-1	9093	83945	360481
DNAJB1	"DnaJ homolog subfamily B member 1 "	"Hsp40 Sis1 RSPH16B"	3337	81489	361384
DNAJB5	"DnaJ homolog subfamily B member 5 "	Hsc40	25822	56323	313811
DNAJC1	"DnaJ homolog subfamily C member 1 "	"DNAJL1 ERdj1 MTJ1"	64215	13418	100360412
DNAJC2	"DnaJ homolog subfamily C member 2 "	"MPP11 MPHOSPH11 ZUO1 zuotin"	27000	22791	116456
DNAJC21	"DnaJ homolog subfamily C member 21 "	"GS3 DNAJA5 JJJ1"	134218	78244	192210
DNM2	"Dynamin-2 "	"DYNII DYN2 CMTDIB CMTDI1 DI-CMTB CMT2M"	1785		
DNMT1	"DNA "	"MCMT CXXC9"	1786	13433	84350
DNMT3A	"DNA "	-	1788	13435	444984
DNMT3B	"DNA "	-	1789	13436	444985
DNMT3L	"DNA "	MGC1090	29947	54427	309680
DNTTIP1	"Deoxynucleotidyltransferase terminal-interacting protein 1 "	"dJ447F3.4 Tdif1"	116092		
DNTTIP2	"Deoxynucleotidyltransferase terminal-interacting protein 2 "	"HSU15552 ERBP TdIF2"	30836	99480	100910753
DOT1L	"Histone-lysine N-methyltransferase, H3 lysine-79 specific "	"KIAA1814 DOT1 KMT4"	84444	208266	362831
DPF1	"Zinc finger protein neuro-d4 "	"neuro-d4 NEUD4 BAF45b SMARCG1"	8193	29861	50545
DPF2	"Zinc finger protein ubi-d4 "	"ubi-d4 BAF45d SMARCG2"	5977	19708	361711
DPF3	"Zinc finger protein DPF3 "	"cer-d4 Cerd4 FLJ14079 BAF45c SMARCG3"	8110	70127	299186
DPPA2	"Developmental pluripotency-associated protein 2 "	"PESCRG1 CT100"	151871	73693	685378
DPPA4	"Developmental pluripotency-associated protein 4"	FLJ10713	55211	73693	685378
DPRX	"Divergent paired-related homeobox"	-	503834		
Dpy30	"Protein dpy-30 homolog "	-		66310	286897
DPY30	"Protein dpy-30 homolog "	"Saf19 HDPY-30 Cps25"	84661		
DR1	"Protein Dr1 "	"NC2-BETA NC2B NCB2"	1810	13486	100910207
DRAP1	"Dr1-associated corepressor "	NC2-alpha	10589	66556	293674
DRGX	"Dorsal root ganglia homeobox protein "	DRG11	644168	107751	252880
DSCAM	"Cell adhesion molecule DSCAM "	"CHD2-42 CHD2-52"	1826	13508	171119
DSP	"Desmoplakin "	"KPPS2 PPKS2 DPI DPII"	1832		
DTX1	"E3 ubiquitin-protein ligase DTX1 "	"hDx-1 RNF140"	1840	14357	687424
DTX2	"Probable E3 ubiquitin-protein ligase DTX2 "	"RNF58 KIAA1528"	113878		
DUS3L	tRNA-dihydrouridine	"DUS3 FLJ13896"	56931		
DUSP12	"Dual specificity protein phosphatase 12 "	"YVH1 DUSP1"	11266		
DUSP22	"Dual specificity protein phosphatase 22 "	"MKPX JSP1 JKAP VHX"	56940		
DUSP26	"Dual specificity protein phosphatase 26 "	"MGC1136 DUSP24 NEAP"	78986	66959	306527
DUX1	"Double homeobox protein 1"	-	26584		
DUX3	"Putative double homeobox protein 3"	-	26582		
DUX4	"Double homeobox protein 4 "	-	100288687	278672	306226
DUX4L2	"Double homeobox protein 4-like protein 2"	-	728410		
DUX4L3	"Double homeobox protein 4-like protein 3"	-	653548		
DUX4L4	"Double homeobox protein 4-like protein 4"	-	441056		
DUX4L5	"Double homeobox protein 4-like protein 5"	-	653545		
DUX4L6	"Double homeobox protein 4-like protein 6"	-	653544		
DUX4L7	"Double homeobox protein 4-like protein 7"	-	653543		
DUX4L9	"Double homeobox protein 4C "	-	100288711		
DUX5	"Double homeobox protein 5"	-	26581		
DUXA	"Double homeobox protein A"	-	503835	100504180	
DUXB	"Double homeobox protein B"	-	100033411	278672	306226
DVL1	"Segment polarity protein dishevelled homolog DVL-1 "	-	1855	13544	303811
DVL2	"Segment polarity protein dishevelled homolog DVL-2 "	-	1856	13543	303251
DVL3	"Segment polarity protein dishevelled homolog DVL-3 "	KIAA0208	1857	13544	303811
DYDC1	"DPY30 domain-containing protein 1"	"bA36D19.5 DPY30D1"	143241	69496	688433
DYNLL1	"Dynein light chain 1, cytoplasmic "	"hdlc1 DLC1 PIN LC8 DLC8"	8655	56455	
DYRK1A	"Dual specificity tyrosine-phosphorylation-regulated kinase 1A "	-	1859	13548	25255
DYRK1B	"Dual specificity tyrosine-phosphorylation-regulated kinase 1B "	MIRK	9149	13549	308468
DZIP1	"Cilium assembly protein DZIP1 "	"KIAA0996 DZIP"	22873		364475
DZIP1L	"Cilium assembly protein DZIP1L "	"FLJ32844 DZIP2"	199221		
